
2024/04/18 (17:12:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (17:15:27) | ===> btop++ v.1.3.2
2024/04/18 (17:15:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (17:15:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (17:15:52) | ===> btop++ v.1.3.2
2024/04/18 (17:15:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (17:15:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/18 (19:07:34) | ===> btop++ v.1.3.2
2024/04/18 (19:07:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/18 (19:07:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:44) | ===> btop++ v.1.3.2
2024/04/21 (11:03:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:47) | ===> btop++ v.1.3.2
2024/04/21 (11:03:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:52) | ===> btop++ v.1.3.2
2024/04/21 (11:03:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:56) | ===> btop++ v.1.3.2
2024/04/21 (11:03:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:03:59) | ===> btop++ v.1.3.2
2024/04/21 (11:03:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:03:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/04/21 (11:13:08) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/04/21 (11:13:13) | ===> btop++ v.1.3.2
2024/04/21 (11:13:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:13:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/04/21 (11:14:36) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/04/21 (11:14:38) | ===> btop++ v.1.3.2
2024/04/21 (11:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:14:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:16:33) | ===> btop++ v.1.3.2
2024/04/21 (11:16:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:16:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:19:11) | ===> btop++ v.1.3.2
2024/04/21 (11:19:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:19:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:19:25) | ===> btop++ v.1.3.2
2024/04/21 (11:19:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:19:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:19:58) | ===> btop++ v.1.3.2
2024/04/21 (11:19:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:19:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:20:02) | ===> btop++ v.1.3.2
2024/04/21 (11:20:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:20:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:21:10) | ===> btop++ v.1.3.2
2024/04/21 (11:21:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:21:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:21:37) | ===> btop++ v.1.3.2
2024/04/21 (11:21:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:21:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:22:16) | ===> btop++ v.1.3.2
2024/04/21 (11:22:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:22:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:22:32) | ===> btop++ v.1.3.2
2024/04/21 (11:22:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:22:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:22:38) | ===> btop++ v.1.3.2
2024/04/21 (11:22:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:22:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:23:27) | ===> btop++ v.1.3.2
2024/04/21 (11:23:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:23:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:23:36) | ===> btop++ v.1.3.2
2024/04/21 (11:23:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:23:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:24:03) | ===> btop++ v.1.3.2
2024/04/21 (11:24:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:24:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:24:11) | ===> btop++ v.1.3.2
2024/04/21 (11:24:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:24:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:24:46) | ===> btop++ v.1.3.2
2024/04/21 (11:24:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:24:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:24:49) | ===> btop++ v.1.3.2
2024/04/21 (11:24:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:24:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:25:16) | ===> btop++ v.1.3.2
2024/04/21 (11:25:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:25:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:26:24) | ===> btop++ v.1.3.2
2024/04/21 (11:26:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:26:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:26:34) | ===> btop++ v.1.3.2
2024/04/21 (11:26:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:26:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:26:47) | ===> btop++ v.1.3.2
2024/04/21 (11:26:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:26:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:26:50) | ===> btop++ v.1.3.2
2024/04/21 (11:26:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:26:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:26:53) | ===> btop++ v.1.3.2
2024/04/21 (11:26:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:26:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:26:55) | ===> btop++ v.1.3.2
2024/04/21 (11:26:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:26:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:27:26) | ===> btop++ v.1.3.2
2024/04/21 (11:27:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:27:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:27:51) | ===> btop++ v.1.3.2
2024/04/21 (11:27:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:27:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:28:04) | ===> btop++ v.1.3.2
2024/04/21 (11:28:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:28:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:28:13) | ===> btop++ v.1.3.2
2024/04/21 (11:28:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:28:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:29:49) | ===> btop++ v.1.3.2
2024/04/21 (11:29:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:29:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:29:54) | ===> btop++ v.1.3.2
2024/04/21 (11:29:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:29:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:29:57) | ===> btop++ v.1.3.2
2024/04/21 (11:29:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:29:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:29:59) | ===> btop++ v.1.3.2
2024/04/21 (11:29:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:29:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:30:00) | ===> btop++ v.1.3.2
2024/04/21 (11:30:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:30:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:30:01) | ===> btop++ v.1.3.2
2024/04/21 (11:30:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:30:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:30:02) | ===> btop++ v.1.3.2
2024/04/21 (11:30:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:30:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:30:05) | ===> btop++ v.1.3.2
2024/04/21 (11:30:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:30:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:32:47) | ===> btop++ v.1.3.2
2024/04/21 (11:32:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:32:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (11:33:49) | ===> btop++ v.1.3.2
2024/04/21 (11:33:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (11:33:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (13:22:20) | ===> btop++ v.1.3.2
2024/04/21 (13:22:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (13:22:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (13:48:05) | ===> btop++ v.1.3.2
2024/04/21 (13:48:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (13:48:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (13:48:31) | ===> btop++ v.1.3.2
2024/04/21 (13:48:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (13:48:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (14:12:46) | ===> btop++ v.1.3.2
2024/04/21 (14:12:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (14:12:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (14:51:57) | ===> btop++ v.1.3.2
2024/04/21 (14:51:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (14:51:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (15:40:22) | ===> btop++ v.1.3.2
2024/04/21 (15:40:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/21 (15:40:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/22 (19:13:18) | ===> btop++ v.1.3.2
2024/04/22 (19:13:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (19:13:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/22 (19:22:32) | ===> btop++ v.1.3.2
2024/04/22 (19:22:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (19:22:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/22 (19:22:49) | ===> btop++ v.1.3.2
2024/04/22 (19:22:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (19:22:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/22 (19:24:28) | ===> btop++ v.1.3.2
2024/04/22 (19:24:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (19:24:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/22 (20:15:42) | ===> btop++ v.1.3.2
2024/04/22 (20:15:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/22 (20:15:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/23 (14:27:09) | ===> btop++ v.1.3.2
2024/04/23 (14:27:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/23 (14:27:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/24 (22:07:34) | ===> btop++ v.1.3.2
2024/04/24 (22:07:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/24 (22:07:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/26 (21:09:34) | ===> btop++ v.1.3.2
2024/04/26 (21:09:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/26 (21:09:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/27 (21:05:17) | ===> btop++ v.1.3.2
2024/04/27 (21:05:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/27 (21:05:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/01 (12:37:05) | ===> btop++ v.1.3.2
2024/05/01 (12:37:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/01 (12:37:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/01 (12:37:08) | ===> btop++ v.1.3.2
2024/05/01 (12:37:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/01 (12:37:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (00:40:38) | ===> btop++ v.1.3.2
2024/05/02 (00:40:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/02 (00:40:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (16:09:59) | ===> btop++ v.1.3.2
2024/05/02 (16:09:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/02 (16:09:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (17:01:15) | ===> btop++ v.1.3.2
2024/05/02 (17:01:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/02 (17:01:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (18:34:11) | ===> btop++ v.1.3.2
2024/05/02 (18:34:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/02 (18:34:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/03 (14:40:56) | ===> btop++ v.1.3.2
2024/05/03 (14:40:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/03 (14:40:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/03 (21:59:20) | ===> btop++ v.1.3.2
2024/05/03 (21:59:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/05/03 (21:59:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/03 (23:01:23) | ===> btop++ v.1.3.2
